LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_1,SEX_2,EDU_0,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDU_6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,pay_bucket_0_count,pay_bucket_1_count,pay_bucket_2_count,pay_bucket_3_count,pay_bucket_4_count,pay_bucket_5_count,pay_bucket_6_count,pay_bucket_7_count,pay_bucket_8_count,pay_bucket_-2_count,pay_bucket_-1_count,pay_bucket_0_flag,pay_bucket_1_flag,pay_bucket_2_flag,pay_bucket_3_flag,pay_bucket_4_flag,pay_bucket_5_flag,pay_bucket_6_flag,pay_bucket_7_flag,pay_bucket_8_flag,pay_bucket_-2_flag,pay_bucket_-1_flag,pay_amt_total,bill_amt_total,pay_to_billed_ratio,zero_bill_amount,utilization_avg,utilization_max,group,default payment next month
50000,22,45803,46696,15287,7694,7921,8041,2400,1123,500,500,400,500,1,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5423,131442,0.04125774105689201,0,0.43814,0.93392,M,0
190000,25,110031,105500,104430,93,158481,161866,8614,5000,93,159212,5800,5500,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,184219,640401,0.28766194930988553,0,0.5617552631578947,0.8519263157894736,M,0
50000,32,41114,44131,43121,45795,44929,48179,4000,0,3400,0,4000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11400,267269,0.04265365605438715,0,0.8908966666666667,0.96358,M,1
150000,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,0.0,M,0
360000,29,390,390,390,390,390,690,390,390,390,390,690,4224,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6474,2640,2.452272727272727,0,0.0012222222222222222,0.0019166666666666666,M,0
160000,42,69896,71971,73996,75065,82472,80984,3810,3831,2900,8800,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19341,454384,0.04256531920138033,0,0.4733166666666667,0.51545,M,0
20000,24,15221,17847,18483,19079,19060,19061,3287,1313,1299,670,686,694,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7949,108751,0.07309358074868277,0,0.9062583333333334,0.95395,M,0
30000,38,1232,764,1909,544,390,954,764,1920,544,390,954,1913,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,6485,5793,1.1194545140687036,0,0.032183333333333335,0.06363333333333333,M,0
320000,28,18506,12237,913,5356,58545,7357,1062,1116,5384,58837,7393,5926,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,79718,102914,0.7746079250636454,0,0.05360104166666666,0.182953125,M,0
50000,31,20451,20426,19894,20294,20145,20175,1600,1600,1000,900,1000,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7100,121385,0.05849157638917494,0,0.4046166666666666,0.40902,M,0
100000,28,942,390,390,390,0,780,390,390,390,0,780,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1950,2892,0.6742738589211619,0,0.00482,0.00942,M,0
440000,64,427038,431540,413605,355274,361170,338732,20000,18000,18003,15000,13000,17000,1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101003,2327359,0.04339811778071196,0,0.8815753787878788,0.9807727272727272,M,0
100000,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,0.0,M,0
160000,31,157303,161498,153226,78511,9808,8358,8055,5045,2280,305,2000,2000,1,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19685,568704,0.034613788543776725,0,0.5924,1.0093625,M,1
440000,28,412962,409812,393255,370202,258387,255740,15000,20000,15305,10070,15037,10052,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85464,2100358,0.04069020614580943,0,0.7955901515151516,0.93855,M,0
110000,42,39635,40580,41631,42352,41373,42156,1900,2000,1700,0,1600,1600,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8800,247727,0.03552297488767878,0,0.3753439393939394,0.3850181818181818,M,1
80000,26,42972,44210,42418,43410,44684,45808,2000,2100,2000,2000,2000,2000,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12100,263502,0.04591995506675471,0,0.5489625,0.5726,M,0
230000,29,711,711,711,711,711,291,711,711,711,711,291,1131,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,4266,3846,1.109204368174727,0,0.0027869565217391304,0.003091304347826087,M,0
170000,62,12980,12724,11888,10802,1477,1302,1550,1000,216,1477,1302,1302,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,6847,51173,0.13380102788579915,0,0.05016960784313726,0.07635294117647058,M,0
20000,55,18558,20358,19743,19128,20560,20082,2400,0,0,1744,0,600,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4744,118429,0.04005775612392235,0,0.9869083333333334,1.028,M,1
100000,47,24735,27555,29798,31028,33544,35328,3555,3000,2028,3354,2328,7300,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21565,181988,0.11849682396641537,0,0.3033133333333333,0.35328,M,0
20000,34,12619,14896,14360,14921,15328,16474,2800,0,800,800,1400,1000,1,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6800,88598,0.07675116819792772,0,0.7383166666666667,0.8237,M,1
100000,30,29668,32463,33350,34003,34647,35348,3600,1700,1500,1500,1400,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9700,199479,0.048626672481815125,0,0.332465,0.35348,M,0
30000,24,28218,28704,30428,28914,29357,29955,2000,3600,0,1200,1200,1300,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9300,175576,0.05296851505900579,0,0.9754222222222223,1.0142666666666666,M,0
20000,30,16906,17328,19145,18397,20697,20547,1000,2400,0,2700,0,283,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6383,113020,0.05647672978233941,0,0.9418333333333334,1.03485,M,0
190000,34,7251,11990,39360,5090,2787,23405,11996,39382,5090,2787,23405,978,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,83638,89883,0.9305207881356875,0,0.07884473684210526,0.2071578947368421,M,0
220000,32,0,4048,4925,12554,1036,522,4048,4925,12606,0,572,7656,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,29807,23085,1.2911847520034654,0,0.017488636363636362,0.057063636363636365,M,0
50000,26,41375,35398,27906,23043,19167,19478,1515,1424,1315,1000,1000,1000,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7254,166367,0.043602397110003785,0,0.5545566666666667,0.8275,M,0
440000,40,54408,57901,61914,65863,69792,73346,5000,5000,5000,5000,5000,5000,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30000,383224,0.0782831972945327,0,0.14516060606060605,0.16669545454545454,M,0
80000,39,83482,80406,71540,68325,65105,62011,2900,2340,2300,2289,2500,1551,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13880,430869,0.032213967586435785,0,0.89764375,1.043525,M,0
200000,49,390,390,390,390,390,390,390,390,390,390,390,390,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2340,2340,1.0,0,0.00195,0.00195,M,0
50000,25,35227,36236,21068,18132,18405,16754,2011,2000,2000,1000,1000,1000,1,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9011,145822,0.061794516602433104,0,0.48607333333333336,0.72472,M,0
330000,34,252755,272262,281220,121814,11383,13090,25000,15000,7000,3000,2000,90000,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,142000,952524,0.14907760854319682,0,0.48107272727272726,0.8521818181818182,M,0
170000,30,136639,138223,140964,138064,131845,128827,7200,7405,6022,4606,5006,4809,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35048,814562,0.04302680458946035,0,0.7985901960784314,0.8292,M,0
200000,37,0,0,0,0,595,0,0,0,0,595,0,2370,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,1,2965,595,4.983193277310924,0,0.0004958333333333334,0.002975,M,0
270000,28,38875,38589,27846,21787,16429,5488,6000,2000,1200,330,2000,8258,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19788,149014,0.13279289194303892,0,0.09198395061728395,0.1439814814814815,M,0
50000,28,18771,10655,1659,6524,29949,3268,10000,1659,6546,29949,3268,399,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,51821,70826,0.7316663372207947,0,0.23608666666666667,0.59898,M,0
110000,46,106111,108698,105666,57940,59247,59594,5015,4081,2101,2202,2204,2100,1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17703,497256,0.03560138037550075,0,0.7534181818181818,0.9881636363636364,M,0
260000,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,0.0,M,0
270000,65,0,2521,5145,8422,6374,1566,2521,5184,8422,6374,0,1429,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,23930,24028,0.9959214250041618,0,0.014832098765432098,0.03119259259259259,M,0
280000,39,7791,5851,430,2041,775,580,1000,430,2041,775,580,1029,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,5855,17468,0.33518433707350587,0,0.010397619047619048,0.027825,M,1
80000,30,56761,58920,60385,64876,65245,63647,3700,3000,6100,2000,0,2000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16800,369834,0.04542578562273885,0,0.7704875,0.8155625,M,1
200000,40,390,394,388,822,386,540,400,390,830,400,550,310,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2880,2920,0.9863013698630136,0,0.0024333333333333334,0.00411,M,0
190000,33,-2650,-2650,-2650,-5036,-5036,93493,0,1941,0,0,98529,3188,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,103658,75471,1.3734812047011435,0,0.06620263157894737,0.4920684210526316,M,1
250000,36,62131,63238,51547,48483,49553,49683,2741,1741,1824,1942,2100,1366,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11714,324635,0.036083601583316645,0,0.21642333333333336,0.252952,M,0
200000,31,6618,6777,7957,4667,76187,74900,1900,3008,3500,73000,2700,3800,1,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87908,177106,0.49635811322033135,0,0.14758833333333335,0.380935,M,0
130000,57,4820,3186,7924,6210,2560,7380,0,6210,0,0,7380,11720,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,25310,32080,0.7889650872817955,0,0.04112820512820513,0.06095384615384616,M,0
10000,44,7816,7542,8561,9571,9761,10106,0,1149,1159,349,502,200,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3359,53357,0.06295331446670539,0,0.8892833333333334,1.0106,M,0
230000,28,33057,33698,36652,38421,37459,54778,1500,4767,3000,3092,17411,5000,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34770,234065,0.14854848012304275,0,0.16961231884057973,0.23816521739130433,M,0
80000,26,5844,6700,0,0,0,0,1067,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1067,12544,0.08506058673469388,0,0.02613333333333333,0.08375,M,0
200000,45,98974,36829,31707,44433,4155,2114,10000,31727,44626,18,2124,9844,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,98339,218212,0.4506580756328708,0,0.18184333333333333,0.49487,M,0
90000,26,86335,88520,90311,91431,92840,91205,4500,4100,3500,3800,0,3500,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19400,540642,0.035883264711213704,0,1.001188888888889,1.0315555555555556,M,0
140000,28,10833,14446,7609,4991,3400,3745,14000,3855,4991,3600,5500,4000,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,35946,45024,0.7983742004264393,0,0.0536,0.10318571428571428,M,0
500000,31,47177,55947,57052,62051,70198,72924,10000,3000,6000,10000,10000,4313,0,1,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43313,365349,0.11855239784425303,0,0.121783,0.145848,M,0
50000,27,19029,18431,22782,32304,31519,23724,0,5000,10000,0,6724,13385,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,35109,147789,0.23756165885147068,0,0.49263,0.64608,M,0
200000,36,2346,4802,4579,5840,5603,6352,2500,0,1500,0,1000,1000,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6000,29522,0.2032382629903123,0,0.024601666666666664,0.03176,M,1
90000,25,2908,1051,2422,1051,1051,83573,1052,2422,0,1051,83573,3098,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,91196,92056,0.99065786043278,0,0.17047407407407406,0.9285888888888889,M,0
50000,37,49078,51063,40371,19522,19140,17912,3800,0,805,818,1000,592,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7015,197086,0.03559359873354779,0,0.6569533333333333,1.02126,M,0
50000,58,7308,7987,8582,9719,9692,9663,1200,1500,1300,500,500,500,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5500,52951,0.10386961530471568,0,0.17650333333333332,0.19438,M,0
140000,34,47922,49930,51980,54606,55220,56527,2710,2760,3386,2000,2082,2000,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14938,316185,0.047244492939260245,0,0.37641071428571427,0.4037642857142857,M,0
150000,33,-3,-3,-3,-3,-3,-3,0,0,0,0,0,698,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,698,-18,-38.77777777777778,0,-2e-05,-2e-05,M,0
200000,26,980,2980,3438,2102,38,0,2000,3438,50,38,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,5526,9538,0.5793667435521074,0,0.007948333333333333,0.01719,M,0
220000,36,996,4102,4111,1057,990,1324,4102,1111,1057,990,1324,1039,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,9623,12580,0.7649443561208267,0,0.00953030303030303,0.018686363636363636,M,0
250000,50,0,0,138,946,377,0,0,138,946,377,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,1461,1461,1.0,0,0.000974,0.003784,M,0
180000,28,103203,108032,109741,112907,115924,118832,6500,5000,5000,5000,5000,5000,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31500,668639,0.047110623221200076,0,0.6191101851851851,0.6601777777777778,M,0
240000,28,168068,168685,94520,14422,12552,20550,6042,3558,1000,600,10550,9000,0,1,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30750,478797,0.06422346004674215,0,0.33249791666666667,0.7028541666666667,M,0
240000,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,0.0,M,0
60000,28,60718,60791,46345,44425,17785,17796,2258,0,1573,800,800,800,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6231,247860,0.02513919147906076,0,0.6885,1.0131833333333333,M,0
500000,53,7196,-1189,4639,2800,854,10854,0,7439,0,854,10000,13313,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,31606,25154,1.2564999602448914,0,0.008384666666666665,0.021708,M,0
150000,26,115786,123423,5250,0,0,0,10000,5250,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,15250,244459,0.06238264903317121,0,0.2716211111111111,0.82282,M,0
250000,25,5211,5211,6282,4140,5211,5211,5211,6282,4140,5211,5211,5211,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,31266,31266,1.0,0,0.020844,0.025128,M,0
500000,42,0,0,1680,0,6745,0,0,1680,0,6745,0,756,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,9181,8425,1.0897329376854599,0,0.0028083333333333337,0.01349,M,0
130000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,0.0,M,1
140000,42,19080,18807,18624,19652,23477,22330,4344,4548,3760,5854,3039,3866,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25411,121970,0.20833811593014676,0,0.14520238095238094,0.16769285714285714,M,0
340000,47,507,892,5221,7627,580,999,892,5269,8193,596,999,176340,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,192289,15826,12.150195880197144,0,0.007757843137254901,0.02243235294117647,M,0
230000,35,76050,76921,65452,61129,55199,55380,3000,4000,3000,3000,2000,3000,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18000,390131,0.04613834840092174,0,0.2827036231884058,0.3344391304347826,M,0
150000,43,1622,12946,0,0,1761,18304,13016,0,0,1761,18306,4275,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,37358,34633,1.078682181734184,0,0.03848111111111111,0.12202666666666667,M,0
50000,47,39296,40638,41741,45982,43041,42957,2000,1759,5000,1525,1569,3000,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14853,253655,0.05855591255839625,0,0.8455166666666667,0.91964,M,0
280000,44,159967,164197,122611,119023,113754,115029,7822,4529,4238,4305,4208,4003,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29105,794581,0.03662936818272775,0,0.47296488095238093,0.5864178571428571,M,0
120000,40,4180,5100,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1000,9280,0.10775862068965517,0,0.012888888888888889,0.0425,M,0
